date,open,high,low,close,volume,shorting_volume_a,shorting_volume_b
20150102,7640,7840,7620,7800,43543,-96,1791
20150105,7800,7930,7770,7920,44456,-3435,-1474
20150106,7830,7940,7750,7810,38896,1171,-1357
20150107,7810,7850,7710,7710,42258,-5140,120
20150108,7800,7820,7600,7600,53822,-9945,-536
20150109,7710,8250,7700,8000,264152,-38092,15038
20150112,8110,8260,8080,8140,149911,22461,11125
20150113,8190,8440,8110,8430,209880,81189,64
20150114,8430,8560,8370,8420,101284,-290,-1235
20150115,8490,8600,8410,8520,77782,2713,-550
20150116,8560,8560,8340,8450,81384,25144,-3026
20150119,8590,8990,8550,8840,254598,-20765,7317
20150120,8830,8990,8800,8900,108458,33819,11622
20150121,8960,9130,8630,8800,251511,-85270,20980
20150122,8840,8840,8550,8730,150493,2792,12207
20150123,8750,9020,8710,8850,119314,0,19031
20150126,8900,9050,8750,9000,107437,31433,5932
20150127,9050,9360,9000,9160,235713,24948,22766
20150128,9270,10450,9170,10150,695918,-386,15599
20150129,10150,10550,9960,10400,436188,17275,6603
20150130,10450,10450,10050,10400,288575,12387,3792
20150202,10250,10850,10250,10400,255658,-12714,16114
20150203,10450,10650,10350,10600,160851,-11575,10269
20150204,10600,10900,10400,10400,224586,-29669,29385
20150205,10600,10700,10400,10450,182579,1497,14214
20150206,10500,10950,10450,10600,204442,27445,12381
20150209,10700,10700,10400,10400,87336,-1470,517
20150210,10350,10500,10200,10200,94432,-16568,10114
20150211,10200,10500,10100,10300,98922,7712,6111
20150212,10350,11050,10350,10700,233751,518,6813
20150213,10700,10750,10400,10400,113298,-144,7494
20150216,10400,11000,10250,11000,217554,2525,9129
20150217,10850,11050,10400,10600,153844,-35874,-9349
20150223,10800,11400,10700,11350,312776,-5564,3195
20150224,11300,11850,11100,11200,337335,-797,13418
20150225,11400,11900,11300,11800,351625,1920,34005
20150226,12100,13550,12000,13150,1129366,63878,19769
20150227,13200,13550,12950,13450,432817,59301,58973
20150302,13450,13650,13000,13100,295400,0,57475
20150303,13350,13800,12800,13650,405023,-910,68829
20150304,13600,14500,13400,13650,590134,-1941,36136
20150305,14000,14000,13250,13300,188903,-9280,20700
20150306,13450,13800,13150,13200,180223,-99,27903
20150309,13300,13350,12850,13000,170619,-265,22964
20150310,13250,13350,12200,12750,390818,-301,17542
20150311,12750,13400,12550,13400,301891,19614,21234
20150312,13400,13750,13150,13350,172863,0,11403
20150313,13550,13700,13300,13650,139485,-101,6174
20150316,13650,13900,13500,13850,168933,26014,-71
20150317,13850,14350,13550,14050,326190,27859,61762
20150318,14200,14450,13900,13900,234995,-6228,32319
20150319,14000,14450,13800,14350,147601,-1200,5215
20150320,14250,14350,14000,14000,120636,-427,-6621
20150323,14000,14300,13450,14050,237237,44812,380
20150324,14050,14200,13700,13700,142040,-28777,14181
20150325,13750,14350,13650,14350,190495,-26654,43903
20150326,14250,15300,14250,14800,378299,17161,27235
20150327,14850,15600,14400,14700,268548,-8465,-7765
20150330,14650,14900,14350,14700,132424,29117,2035
20150331,14700,15100,14400,14450,129796,-23907,-8227
20150401,14400,14550,14050,14200,138334,-3092,12166
20150402,14200,14400,14000,14400,153618,412,-17915
20150403,14300,14400,12350,12600,730719,-49412,21610
20150406,12750,12800,12050,12450,632259,3657,18073
20150407,12550,12700,12350,12600,323285,55059,-2814
20150408,12700,12950,12500,12700,291874,60973,-10657
20150409,12850,13550,12800,13350,335711,13051,30123
20150410,13200,13500,13000,13150,136295,23806,-12816
20150413,13250,13350,12450,12600,228633,-34605,27082
20150414,12500,12850,12300,12450,239205,7024,-1552
20150415,12600,13050,12500,12800,175398,40374,1692
20150416,12950,13000,12600,12900,146256,44554,-31540
20150417,13100,14300,12900,13900,376414,39609,-4278
20150420,13700,14100,13550,13700,284071,-2733,-25303
20150421,13800,13850,13350,13350,150307,10493,2558
20150422,13350,13900,12800,13050,182104,19166,4881
20150423,13300,13300,12500,12600,160557,-8072,15594
20150424,12750,13400,12000,13400,202207,15070,1983
20150427,13450,13450,12850,13250,134311,21238,-33796
20150428,13050,13600,12850,13400,148783,49881,-32093
20150429,13800,14000,13050,13100,288618,-3190,-59458
20150430,13250,13350,12750,12850,145700,6422,18020
